,Player,Year,Team,GP,Min,Pts,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,Reb.Off,Reb.Def,Reb.Tot,Ast,Stl,Blk,TO,PF
1321,Seth Curry,2009,Liberty,35,36.5,20.2,4.0,8.3,48.8%,2.9,8.4,34.7%,3.4,4.1,83.2%,0.7,3.7,4.4,2.3,1.4,0.3,2.3,1.5
1322,Craig Brackins,2009,Iowa St,32,32.5,20.2,6.9,13.7,50.7%,0.7,2.3,28.4%,4.3,6.2,69.7%,1.7,7.8,9.5,1.3,0.5,0.9,2.3,2.1
1323,Dior Lowhorn,2009,San Francisco,30,32.3,20.1,6.4,13.0,49.5%,1.3,2.9,43.2%,3.5,5.1,68.0%,2.2,4.7,6.9,0.8,0.5,0.6,1.5,2.0
1324,James Harden,2009,Arizona St,35,35.8,20.1,4.7,8.3,56.4%,1.7,4.7,35.6%,5.8,7.7,75.6%,1.4,4.2,5.6,4.2,1.7,0.3,3.4,2.8
1325,Stephen Curry,2009,Davidson,34,33.7,28.6,5.4,10.3,51.9%,3.8,9.9,38.7%,6.5,7.4,87.6%,0.6,3.8,4.4,5.6,2.5,0.2,3.7,2.4
1326,Lester Hudson,2009,UT Martin,32,36.0,27.5,6.5,12.4,52.0%,3.3,9.3,35.5%,4.6,5.3,88.1%,2.2,5.8,7.9,4.2,2.3,0.6,3.3,2.7
1327,Jermaine Taylor,2009,UCF,31,31.9,26.2,6.4,11.6,55.1%,3.0,7.9,37.6%,4.5,5.5,81.2%,1.9,3.3,5.2,1.9,1.3,0.8,2.8,1.8
1328,David Holston,2009,Chicago St,32,34.9,25.9,3.8,7.4,51.5%,4.6,12.3,37.2%,4.5,5.5,82.4%,1.0,2.7,3.7,6.4,3.0,0.0,4.1,2.1
1329,Stefon Jackson,2009,UTEP,37,36.1,24.5,6.8,15.0,45.0%,0.9,2.8,30.8%,8.4,10.1,83.4%,1.6,3.8,5.4,1.9,1.1,0.1,2.1,2.7
1330,Josh Akognon,2009,CSUF,32,35.6,23.9,3.5,7.9,44.4%,4.3,11.4,37.2%,4.1,4.6,89.2%,0.6,2.6,3.2,1.6,1.0,0.0,2.6,2.0
1331,Ryan Toolson,2009,Utah Valley,28,37.1,23.8,4.5,8.7,52.3%,2.6,6.8,38.9%,6.8,7.3,92.7%,0.4,3.3,3.8,3.1,1.0,0.3,2.5,1.3
1332,Jodie Meeks,2009,Kentucky,36,34.4,23.7,4.1,7.8,52.1%,3.3,8.0,40.6%,5.9,6.5,90.2%,0.5,2.9,3.4,1.8,1.3,0.1,2.7,1.9
1333,Luke Harangody,2009,Notre Dame,34,34.2,23.3,8.4,18.1,46.5%,0.4,1.1,36.8%,5.2,6.7,77.7%,3.5,8.3,11.8,2.1,0.9,0.9,1.8,2.3
1334,Ben Woodside,2009,North Dakota St,33,34.5,23.2,5.1,10.5,48.1%,2.0,4.8,42.7%,7.0,8.3,84.0%,0.3,2.9,3.2,6.2,1.4,0.2,3.2,1.3
1335,Jeremy Hazell,2009,Seton Hall,32,36.3,22.7,4.1,8.1,50.0%,3.3,9.1,36.2%,4.7,6.4,74.0%,1.3,2.5,3.8,0.9,1.8,0.0,2.2,2.0
1336,Blake Griffin,2009,Oklahoma,35,33.3,22.7,8.5,12.9,65.9%,0.1,0.2,37.5%,5.5,9.3,59.0%,3.9,10.5,14.4,2.3,1.1,1.2,3.3,2.5
1337,Eric Maynor,2009,VCU,34,35.5,22.4,5.4,10.4,51.6%,1.9,5.4,36.1%,5.8,7.1,81.5%,0.5,3.1,3.6,6.2,1.7,0.2,3.0,2.4
1338,Chavis Holmes,2009,VMI,31,33.2,22.0,4.2,7.3,57.3%,2.7,6.1,44.1%,5.6,6.8,82.9%,1.8,2.9,4.6,3.1,3.4,1.1,2.3,2.6
1339,Drake Reed,2009,Austin Peay,33,36.7,21.9,7.8,13.4,58.5%,0.5,1.4,37.0%,4.7,6.3,74.6%,2.5,5.0,7.5,2.4,0.7,0.6,2.5,2.0
1340,Toney Douglas,2009,Florida St,35,36.5,21.5,4.4,9.0,48.9%,2.4,6.3,38.5%,5.4,6.6,81.0%,0.8,3.1,3.9,2.9,1.8,0.4,2.5,2.2
1341,Kevin Tiggs,2009,ETSU,34,33.8,21.4,6.2,10.7,58.0%,1.1,3.1,35.2%,5.8,7.5,76.6%,1.9,2.9,4.8,2.0,2.1,0.2,3.1,2.2
1342,Michael Deloach,2009,Norfolk St,32,36.1,21.4,6.7,13.8,48.5%,1.1,3.4,33.0%,4.6,6.4,72.1%,1.7,3.3,4.9,2.8,2.0,0.3,3.6,2.9
1343,Marcus Thornton,2009,LSU,35,31.9,21.1,5.1,9.7,52.2%,2.2,5.7,38.8%,4.3,5.7,74.5%,2.0,3.5,5.5,2.1,1.6,0.4,1.8,2.1
1344,James Florence,2009,Mercer,32,34.1,20.8,5.2,10.4,49.7%,2.0,6.7,29.6%,4.6,6.5,69.9%,0.8,2.8,3.5,3.7,2.3,0.1,3.8,2.5
1345,Tyler Hansbrough,2009,UNC,34,30.3,20.7,6.3,12.1,52.1%,0.3,0.7,39.1%,7.3,8.7,84.1%,3.0,5.1,8.1,1.0,1.2,0.4,1.9,2.3
1346,Seth Curry,2009,Liberty,35,36.5,20.2,4.0,8.3,48.8%,2.9,8.4,34.7%,3.4,4.1,83.2%,0.7,3.7,4.4,2.3,1.4,0.3,2.3,1.5
1347,Craig Brackins,2009,Iowa St,32,32.5,20.2,6.9,13.7,50.7%,0.7,2.3,28.4%,4.3,6.2,69.7%,1.7,7.8,9.5,1.3,0.5,0.9,2.3,2.1
1348,Dior Lowhorn,2009,San Francisco,30,32.3,20.1,6.4,13.0,49.5%,1.3,2.9,43.2%,3.5,5.1,68.0%,2.2,4.7,6.9,0.8,0.5,0.6,1.5,2.0
1349,James Harden,2009,Arizona St,35,35.8,20.1,4.7,8.3,56.4%,1.7,4.7,35.6%,5.8,7.7,75.6%,1.4,4.2,5.6,4.2,1.7,0.3,3.4,2.8
1350,Stephen Curry,2009,Davidson,34,33.7,28.6,5.4,10.3,51.9%,3.8,9.9,38.7%,6.5,7.4,87.6%,0.6,3.8,4.4,5.6,2.5,0.2,3.7,2.4
1351,Lester Hudson,2009,UT Martin,32,36.0,27.5,6.5,12.4,52.0%,3.3,9.3,35.5%,4.6,5.3,88.1%,2.2,5.8,7.9,4.2,2.3,0.6,3.3,2.7
1352,Jermaine Taylor,2009,UCF,31,31.9,26.2,6.4,11.6,55.1%,3.0,7.9,37.6%,4.5,5.5,81.2%,1.9,3.3,5.2,1.9,1.3,0.8,2.8,1.8
1353,David Holston,2009,Chicago St,32,34.9,25.9,3.8,7.4,51.5%,4.6,12.3,37.2%,4.5,5.5,82.4%,1.0,2.7,3.7,6.4,3.0,0.0,4.1,2.1
1354,Stefon Jackson,2009,UTEP,37,36.1,24.5,6.8,15.0,45.0%,0.9,2.8,30.8%,8.4,10.1,83.4%,1.6,3.8,5.4,1.9,1.1,0.1,2.1,2.7
1355,Josh Akognon,2009,CSUF,32,35.6,23.9,3.5,7.9,44.4%,4.3,11.4,37.2%,4.1,4.6,89.2%,0.6,2.6,3.2,1.6,1.0,0.0,2.6,2.0
1356,Ryan Toolson,2009,Utah Valley,28,37.1,23.8,4.5,8.7,52.3%,2.6,6.8,38.9%,6.8,7.3,92.7%,0.4,3.3,3.8,3.1,1.0,0.3,2.5,1.3
1357,Jodie Meeks,2009,Kentucky,36,34.4,23.7,4.1,7.8,52.1%,3.3,8.0,40.6%,5.9,6.5,90.2%,0.5,2.9,3.4,1.8,1.3,0.1,2.7,1.9
1358,Luke Harangody,2009,Notre Dame,34,34.2,23.3,8.4,18.1,46.5%,0.4,1.1,36.8%,5.2,6.7,77.7%,3.5,8.3,11.8,2.1,0.9,0.9,1.8,2.3
1359,Ben Woodside,2009,North Dakota St,33,34.5,23.2,5.1,10.5,48.1%,2.0,4.8,42.7%,7.0,8.3,84.0%,0.3,2.9,3.2,6.2,1.4,0.2,3.2,1.3
1360,Jeremy Hazell,2009,Seton Hall,32,36.3,22.7,4.1,8.1,50.0%,3.3,9.1,36.2%,4.7,6.4,74.0%,1.3,2.5,3.8,0.9,1.8,0.0,2.2,2.0
1361,Blake Griffin,2009,Oklahoma,35,33.3,22.7,8.5,12.9,65.9%,0.1,0.2,37.5%,5.5,9.3,59.0%,3.9,10.5,14.4,2.3,1.1,1.2,3.3,2.5
1362,Eric Maynor,2009,VCU,34,35.5,22.4,5.4,10.4,51.6%,1.9,5.4,36.1%,5.8,7.1,81.5%,0.5,3.1,3.6,6.2,1.7,0.2,3.0,2.4
1363,Chavis Holmes,2009,VMI,31,33.2,22.0,4.2,7.3,57.3%,2.7,6.1,44.1%,5.6,6.8,82.9%,1.8,2.9,4.6,3.1,3.4,1.1,2.3,2.6
1364,Drake Reed,2009,Austin Peay,33,36.7,21.9,7.8,13.4,58.5%,0.5,1.4,37.0%,4.7,6.3,74.6%,2.5,5.0,7.5,2.4,0.7,0.6,2.5,2.0
1365,Toney Douglas,2009,Florida St,35,36.5,21.5,4.4,9.0,48.9%,2.4,6.3,38.5%,5.4,6.6,81.0%,0.8,3.1,3.9,2.9,1.8,0.4,2.5,2.2
1366,Kevin Tiggs,2009,ETSU,34,33.8,21.4,6.2,10.7,58.0%,1.1,3.1,35.2%,5.8,7.5,76.6%,1.9,2.9,4.8,2.0,2.1,0.2,3.1,2.2
1367,Michael Deloach,2009,Norfolk St,32,36.1,21.4,6.7,13.8,48.5%,1.1,3.4,33.0%,4.6,6.4,72.1%,1.7,3.3,4.9,2.8,2.0,0.3,3.6,2.9
1368,Marcus Thornton,2009,LSU,35,31.9,21.1,5.1,9.7,52.2%,2.2,5.7,38.8%,4.3,5.7,74.5%,2.0,3.5,5.5,2.1,1.6,0.4,1.8,2.1
1369,James Florence,2009,Mercer,32,34.1,20.8,5.2,10.4,49.7%,2.0,6.7,29.6%,4.6,6.5,69.9%,0.8,2.8,3.5,3.7,2.3,0.1,3.8,2.5
1370,Tyler Hansbrough,2009,UNC,34,30.3,20.7,6.3,12.1,52.1%,0.3,0.7,39.1%,7.3,8.7,84.1%,3.0,5.1,8.1,1.0,1.2,0.4,1.9,2.3
1371,Seth Curry,2009,Liberty,35,36.5,20.2,4.0,8.3,48.8%,2.9,8.4,34.7%,3.4,4.1,83.2%,0.7,3.7,4.4,2.3,1.4,0.3,2.3,1.5
1372,Craig Brackins,2009,Iowa St,32,32.5,20.2,6.9,13.7,50.7%,0.7,2.3,28.4%,4.3,6.2,69.7%,1.7,7.8,9.5,1.3,0.5,0.9,2.3,2.1
1373,Dior Lowhorn,2009,San Francisco,30,32.3,20.1,6.4,13.0,49.5%,1.3,2.9,43.2%,3.5,5.1,68.0%,2.2,4.7,6.9,0.8,0.5,0.6,1.5,2.0
1374,James Harden,2009,Arizona St,35,35.8,20.1,4.7,8.3,56.4%,1.7,4.7,35.6%,5.8,7.7,75.6%,1.4,4.2,5.6,4.2,1.7,0.3,3.4,2.8
1375,Stephen Curry,2009,Davidson,34,33.7,28.6,5.4,10.3,51.9%,3.8,9.9,38.7%,6.5,7.4,87.6%,0.6,3.8,4.4,5.6,2.5,0.2,3.7,2.4
1376,Lester Hudson,2009,UT Martin,32,36.0,27.5,6.5,12.4,52.0%,3.3,9.3,35.5%,4.6,5.3,88.1%,2.2,5.8,7.9,4.2,2.3,0.6,3.3,2.7
1377,Jermaine Taylor,2009,UCF,31,31.9,26.2,6.4,11.6,55.1%,3.0,7.9,37.6%,4.5,5.5,81.2%,1.9,3.3,5.2,1.9,1.3,0.8,2.8,1.8
1378,David Holston,2009,Chicago St,32,34.9,25.9,3.8,7.4,51.5%,4.6,12.3,37.2%,4.5,5.5,82.4%,1.0,2.7,3.7,6.4,3.0,0.0,4.1,2.1
1379,Stefon Jackson,2009,UTEP,37,36.1,24.5,6.8,15.0,45.0%,0.9,2.8,30.8%,8.4,10.1,83.4%,1.6,3.8,5.4,1.9,1.1,0.1,2.1,2.7
1380,Josh Akognon,2009,CSUF,32,35.6,23.9,3.5,7.9,44.4%,4.3,11.4,37.2%,4.1,4.6,89.2%,0.6,2.6,3.2,1.6,1.0,0.0,2.6,2.0
1381,Ryan Toolson,2009,Utah Valley,28,37.1,23.8,4.5,8.7,52.3%,2.6,6.8,38.9%,6.8,7.3,92.7%,0.4,3.3,3.8,3.1,1.0,0.3,2.5,1.3
1382,Jodie Meeks,2009,Kentucky,36,34.4,23.7,4.1,7.8,52.1%,3.3,8.0,40.6%,5.9,6.5,90.2%,0.5,2.9,3.4,1.8,1.3,0.1,2.7,1.9
1383,Luke Harangody,2009,Notre Dame,34,34.2,23.3,8.4,18.1,46.5%,0.4,1.1,36.8%,5.2,6.7,77.7%,3.5,8.3,11.8,2.1,0.9,0.9,1.8,2.3
1384,Ben Woodside,2009,North Dakota St,33,34.5,23.2,5.1,10.5,48.1%,2.0,4.8,42.7%,7.0,8.3,84.0%,0.3,2.9,3.2,6.2,1.4,0.2,3.2,1.3
1385,Jeremy Hazell,2009,Seton Hall,32,36.3,22.7,4.1,8.1,50.0%,3.3,9.1,36.2%,4.7,6.4,74.0%,1.3,2.5,3.8,0.9,1.8,0.0,2.2,2.0
1386,Blake Griffin,2009,Oklahoma,35,33.3,22.7,8.5,12.9,65.9%,0.1,0.2,37.5%,5.5,9.3,59.0%,3.9,10.5,14.4,2.3,1.1,1.2,3.3,2.5
1387,Eric Maynor,2009,VCU,34,35.5,22.4,5.4,10.4,51.6%,1.9,5.4,36.1%,5.8,7.1,81.5%,0.5,3.1,3.6,6.2,1.7,0.2,3.0,2.4
1388,Chavis Holmes,2009,VMI,31,33.2,22.0,4.2,7.3,57.3%,2.7,6.1,44.1%,5.6,6.8,82.9%,1.8,2.9,4.6,3.1,3.4,1.1,2.3,2.6
1389,Drake Reed,2009,Austin Peay,33,36.7,21.9,7.8,13.4,58.5%,0.5,1.4,37.0%,4.7,6.3,74.6%,2.5,5.0,7.5,2.4,0.7,0.6,2.5,2.0
1390,Toney Douglas,2009,Florida St,35,36.5,21.5,4.4,9.0,48.9%,2.4,6.3,38.5%,5.4,6.6,81.0%,0.8,3.1,3.9,2.9,1.8,0.4,2.5,2.2
1391,Kevin Tiggs,2009,ETSU,34,33.8,21.4,6.2,10.7,58.0%,1.1,3.1,35.2%,5.8,7.5,76.6%,1.9,2.9,4.8,2.0,2.1,0.2,3.1,2.2
1392,Michael Deloach,2009,Norfolk St,32,36.1,21.4,6.7,13.8,48.5%,1.1,3.4,33.0%,4.6,6.4,72.1%,1.7,3.3,4.9,2.8,2.0,0.3,3.6,2.9
1393,Marcus Thornton,2009,LSU,35,31.9,21.1,5.1,9.7,52.2%,2.2,5.7,38.8%,4.3,5.7,74.5%,2.0,3.5,5.5,2.1,1.6,0.4,1.8,2.1
1394,James Florence,2009,Mercer,32,34.1,20.8,5.2,10.4,49.7%,2.0,6.7,29.6%,4.6,6.5,69.9%,0.8,2.8,3.5,3.7,2.3,0.1,3.8,2.5
1395,Tyler Hansbrough,2009,UNC,34,30.3,20.7,6.3,12.1,52.1%,0.3,0.7,39.1%,7.3,8.7,84.1%,3.0,5.1,8.1,1.0,1.2,0.4,1.9,2.3
1396,Seth Curry,2009,Liberty,35,36.5,20.2,4.0,8.3,48.8%,2.9,8.4,34.7%,3.4,4.1,83.2%,0.7,3.7,4.4,2.3,1.4,0.3,2.3,1.5
1397,Craig Brackins,2009,Iowa St,32,32.5,20.2,6.9,13.7,50.7%,0.7,2.3,28.4%,4.3,6.2,69.7%,1.7,7.8,9.5,1.3,0.5,0.9,2.3,2.1
1398,Dior Lowhorn,2009,San Francisco,30,32.3,20.1,6.4,13.0,49.5%,1.3,2.9,43.2%,3.5,5.1,68.0%,2.2,4.7,6.9,0.8,0.5,0.6,1.5,2.0
1399,James Harden,2009,Arizona St,35,35.8,20.1,4.7,8.3,56.4%,1.7,4.7,35.6%,5.8,7.7,75.6%,1.4,4.2,5.6,4.2,1.7,0.3,3.4,2.8
1400,Stephen Curry,2009,Davidson,34,33.7,28.6,5.4,10.3,51.9%,3.8,9.9,38.7%,6.5,7.4,87.6%,0.6,3.8,4.4,5.6,2.5,0.2,3.7,2.4
1401,Lester Hudson,2009,UT Martin,32,36.0,27.5,6.5,12.4,52.0%,3.3,9.3,35.5%,4.6,5.3,88.1%,2.2,5.8,7.9,4.2,2.3,0.6,3.3,2.7
1402,Jermaine Taylor,2009,UCF,31,31.9,26.2,6.4,11.6,55.1%,3.0,7.9,37.6%,4.5,5.5,81.2%,1.9,3.3,5.2,1.9,1.3,0.8,2.8,1.8
1403,David Holston,2009,Chicago St,32,34.9,25.9,3.8,7.4,51.5%,4.6,12.3,37.2%,4.5,5.5,82.4%,1.0,2.7,3.7,6.4,3.0,0.0,4.1,2.1
1404,Stefon Jackson,2009,UTEP,37,36.1,24.5,6.8,15.0,45.0%,0.9,2.8,30.8%,8.4,10.1,83.4%,1.6,3.8,5.4,1.9,1.1,0.1,2.1,2.7
1405,Josh Akognon,2009,CSUF,32,35.6,23.9,3.5,7.9,44.4%,4.3,11.4,37.2%,4.1,4.6,89.2%,0.6,2.6,3.2,1.6,1.0,0.0,2.6,2.0
1406,Ryan Toolson,2009,Utah Valley,28,37.1,23.8,4.5,8.7,52.3%,2.6,6.8,38.9%,6.8,7.3,92.7%,0.4,3.3,3.8,3.1,1.0,0.3,2.5,1.3
1407,Jodie Meeks,2009,Kentucky,36,34.4,23.7,4.1,7.8,52.1%,3.3,8.0,40.6%,5.9,6.5,90.2%,0.5,2.9,3.4,1.8,1.3,0.1,2.7,1.9
1408,Luke Harangody,2009,Notre Dame,34,34.2,23.3,8.4,18.1,46.5%,0.4,1.1,36.8%,5.2,6.7,77.7%,3.5,8.3,11.8,2.1,0.9,0.9,1.8,2.3
1409,Ben Woodside,2009,North Dakota St,33,34.5,23.2,5.1,10.5,48.1%,2.0,4.8,42.7%,7.0,8.3,84.0%,0.3,2.9,3.2,6.2,1.4,0.2,3.2,1.3
1410,Jeremy Hazell,2009,Seton Hall,32,36.3,22.7,4.1,8.1,50.0%,3.3,9.1,36.2%,4.7,6.4,74.0%,1.3,2.5,3.8,0.9,1.8,0.0,2.2,2.0
1411,Blake Griffin,2009,Oklahoma,35,33.3,22.7,8.5,12.9,65.9%,0.1,0.2,37.5%,5.5,9.3,59.0%,3.9,10.5,14.4,2.3,1.1,1.2,3.3,2.5
1412,Eric Maynor,2009,VCU,34,35.5,22.4,5.4,10.4,51.6%,1.9,5.4,36.1%,5.8,7.1,81.5%,0.5,3.1,3.6,6.2,1.7,0.2,3.0,2.4
1413,Chavis Holmes,2009,VMI,31,33.2,22.0,4.2,7.3,57.3%,2.7,6.1,44.1%,5.6,6.8,82.9%,1.8,2.9,4.6,3.1,3.4,1.1,2.3,2.6
1414,Drake Reed,2009,Austin Peay,33,36.7,21.9,7.8,13.4,58.5%,0.5,1.4,37.0%,4.7,6.3,74.6%,2.5,5.0,7.5,2.4,0.7,0.6,2.5,2.0
1415,Toney Douglas,2009,Florida St,35,36.5,21.5,4.4,9.0,48.9%,2.4,6.3,38.5%,5.4,6.6,81.0%,0.8,3.1,3.9,2.9,1.8,0.4,2.5,2.2
1416,Kevin Tiggs,2009,ETSU,34,33.8,21.4,6.2,10.7,58.0%,1.1,3.1,35.2%,5.8,7.5,76.6%,1.9,2.9,4.8,2.0,2.1,0.2,3.1,2.2
1417,Michael Deloach,2009,Norfolk St,32,36.1,21.4,6.7,13.8,48.5%,1.1,3.4,33.0%,4.6,6.4,72.1%,1.7,3.3,4.9,2.8,2.0,0.3,3.6,2.9
1418,Marcus Thornton,2009,LSU,35,31.9,21.1,5.1,9.7,52.2%,2.2,5.7,38.8%,4.3,5.7,74.5%,2.0,3.5,5.5,2.1,1.6,0.4,1.8,2.1
1419,James Florence,2009,Mercer,32,34.1,20.8,5.2,10.4,49.7%,2.0,6.7,29.6%,4.6,6.5,69.9%,0.8,2.8,3.5,3.7,2.3,0.1,3.8,2.5
1420,Tyler Hansbrough,2009,UNC,34,30.3,20.7,6.3,12.1,52.1%,0.3,0.7,39.1%,7.3,8.7,84.1%,3.0,5.1,8.1,1.0,1.2,0.4,1.9,2.3
1421,Seth Curry,2009,Liberty,35,36.5,20.2,4.0,8.3,48.8%,2.9,8.4,34.7%,3.4,4.1,83.2%,0.7,3.7,4.4,2.3,1.4,0.3,2.3,1.5
1422,Craig Brackins,2009,Iowa St,32,32.5,20.2,6.9,13.7,50.7%,0.7,2.3,28.4%,4.3,6.2,69.7%,1.7,7.8,9.5,1.3,0.5,0.9,2.3,2.1
1423,Dior Lowhorn,2009,San Francisco,30,32.3,20.1,6.4,13.0,49.5%,1.3,2.9,43.2%,3.5,5.1,68.0%,2.2,4.7,6.9,0.8,0.5,0.6,1.5,2.0
1424,James Harden,2009,Arizona St,35,35.8,20.1,4.7,8.3,56.4%,1.7,4.7,35.6%,5.8,7.7,75.6%,1.4,4.2,5.6,4.2,1.7,0.3,3.4,2.8
1425,Stephen Curry,2009,Davidson,34,33.7,28.6,5.4,10.3,51.9%,3.8,9.9,38.7%,6.5,7.4,87.6%,0.6,3.8,4.4,5.6,2.5,0.2,3.7,2.4
1426,Lester Hudson,2009,UT Martin,32,36.0,27.5,6.5,12.4,52.0%,3.3,9.3,35.5%,4.6,5.3,88.1%,2.2,5.8,7.9,4.2,2.3,0.6,3.3,2.7
1427,Jermaine Taylor,2009,UCF,31,31.9,26.2,6.4,11.6,55.1%,3.0,7.9,37.6%,4.5,5.5,81.2%,1.9,3.3,5.2,1.9,1.3,0.8,2.8,1.8
1428,David Holston,2009,Chicago St,32,34.9,25.9,3.8,7.4,51.5%,4.6,12.3,37.2%,4.5,5.5,82.4%,1.0,2.7,3.7,6.4,3.0,0.0,4.1,2.1
1429,Stefon Jackson,2009,UTEP,37,36.1,24.5,6.8,15.0,45.0%,0.9,2.8,30.8%,8.4,10.1,83.4%,1.6,3.8,5.4,1.9,1.1,0.1,2.1,2.7
1430,Josh Akognon,2009,CSUF,32,35.6,23.9,3.5,7.9,44.4%,4.3,11.4,37.2%,4.1,4.6,89.2%,0.6,2.6,3.2,1.6,1.0,0.0,2.6,2.0
1431,Ryan Toolson,2009,Utah Valley,28,37.1,23.8,4.5,8.7,52.3%,2.6,6.8,38.9%,6.8,7.3,92.7%,0.4,3.3,3.8,3.1,1.0,0.3,2.5,1.3
1432,Jodie Meeks,2009,Kentucky,36,34.4,23.7,4.1,7.8,52.1%,3.3,8.0,40.6%,5.9,6.5,90.2%,0.5,2.9,3.4,1.8,1.3,0.1,2.7,1.9
1433,Luke Harangody,2009,Notre Dame,34,34.2,23.3,8.4,18.1,46.5%,0.4,1.1,36.8%,5.2,6.7,77.7%,3.5,8.3,11.8,2.1,0.9,0.9,1.8,2.3
1434,Ben Woodside,2009,North Dakota St,33,34.5,23.2,5.1,10.5,48.1%,2.0,4.8,42.7%,7.0,8.3,84.0%,0.3,2.9,3.2,6.2,1.4,0.2,3.2,1.3
1435,Jeremy Hazell,2009,Seton Hall,32,36.3,22.7,4.1,8.1,50.0%,3.3,9.1,36.2%,4.7,6.4,74.0%,1.3,2.5,3.8,0.9,1.8,0.0,2.2,2.0
1436,Blake Griffin,2009,Oklahoma,35,33.3,22.7,8.5,12.9,65.9%,0.1,0.2,37.5%,5.5,9.3,59.0%,3.9,10.5,14.4,2.3,1.1,1.2,3.3,2.5
1437,Eric Maynor,2009,VCU,34,35.5,22.4,5.4,10.4,51.6%,1.9,5.4,36.1%,5.8,7.1,81.5%,0.5,3.1,3.6,6.2,1.7,0.2,3.0,2.4
1438,Chavis Holmes,2009,VMI,31,33.2,22.0,4.2,7.3,57.3%,2.7,6.1,44.1%,5.6,6.8,82.9%,1.8,2.9,4.6,3.1,3.4,1.1,2.3,2.6
1439,Drake Reed,2009,Austin Peay,33,36.7,21.9,7.8,13.4,58.5%,0.5,1.4,37.0%,4.7,6.3,74.6%,2.5,5.0,7.5,2.4,0.7,0.6,2.5,2.0
1440,Toney Douglas,2009,Florida St,35,36.5,21.5,4.4,9.0,48.9%,2.4,6.3,38.5%,5.4,6.6,81.0%,0.8,3.1,3.9,2.9,1.8,0.4,2.5,2.2
1441,Kevin Tiggs,2009,ETSU,34,33.8,21.4,6.2,10.7,58.0%,1.1,3.1,35.2%,5.8,7.5,76.6%,1.9,2.9,4.8,2.0,2.1,0.2,3.1,2.2
1442,Michael Deloach,2009,Norfolk St,32,36.1,21.4,6.7,13.8,48.5%,1.1,3.4,33.0%,4.6,6.4,72.1%,1.7,3.3,4.9,2.8,2.0,0.3,3.6,2.9
1443,Marcus Thornton,2009,LSU,35,31.9,21.1,5.1,9.7,52.2%,2.2,5.7,38.8%,4.3,5.7,74.5%,2.0,3.5,5.5,2.1,1.6,0.4,1.8,2.1
1444,James Florence,2009,Mercer,32,34.1,20.8,5.2,10.4,49.7%,2.0,6.7,29.6%,4.6,6.5,69.9%,0.8,2.8,3.5,3.7,2.3,0.1,3.8,2.5
1445,Tyler Hansbrough,2009,UNC,34,30.3,20.7,6.3,12.1,52.1%,0.3,0.7,39.1%,7.3,8.7,84.1%,3.0,5.1,8.1,1.0,1.2,0.4,1.9,2.3
1446,Seth Curry,2009,Liberty,35,36.5,20.2,4.0,8.3,48.8%,2.9,8.4,34.7%,3.4,4.1,83.2%,0.7,3.7,4.4,2.3,1.4,0.3,2.3,1.5
1447,Craig Brackins,2009,Iowa St,32,32.5,20.2,6.9,13.7,50.7%,0.7,2.3,28.4%,4.3,6.2,69.7%,1.7,7.8,9.5,1.3,0.5,0.9,2.3,2.1
1448,Dior Lowhorn,2009,San Francisco,30,32.3,20.1,6.4,13.0,49.5%,1.3,2.9,43.2%,3.5,5.1,68.0%,2.2,4.7,6.9,0.8,0.5,0.6,1.5,2.0
1449,James Harden,2009,Arizona St,35,35.8,20.1,4.7,8.3,56.4%,1.7,4.7,35.6%,5.8,7.7,75.6%,1.4,4.2,5.6,4.2,1.7,0.3,3.4,2.8
1450,Stephen Curry,2009,Davidson,34,33.7,28.6,5.4,10.3,51.9%,3.8,9.9,38.7%,6.5,7.4,87.6%,0.6,3.8,4.4,5.6,2.5,0.2,3.7,2.4
1451,Lester Hudson,2009,UT Martin,32,36.0,27.5,6.5,12.4,52.0%,3.3,9.3,35.5%,4.6,5.3,88.1%,2.2,5.8,7.9,4.2,2.3,0.6,3.3,2.7
1452,Jermaine Taylor,2009,UCF,31,31.9,26.2,6.4,11.6,55.1%,3.0,7.9,37.6%,4.5,5.5,81.2%,1.9,3.3,5.2,1.9,1.3,0.8,2.8,1.8
1453,David Holston,2009,Chicago St,32,34.9,25.9,3.8,7.4,51.5%,4.6,12.3,37.2%,4.5,5.5,82.4%,1.0,2.7,3.7,6.4,3.0,0.0,4.1,2.1
1454,Stefon Jackson,2009,UTEP,37,36.1,24.5,6.8,15.0,45.0%,0.9,2.8,30.8%,8.4,10.1,83.4%,1.6,3.8,5.4,1.9,1.1,0.1,2.1,2.7
1455,Josh Akognon,2009,CSUF,32,35.6,23.9,3.5,7.9,44.4%,4.3,11.4,37.2%,4.1,4.6,89.2%,0.6,2.6,3.2,1.6,1.0,0.0,2.6,2.0
1456,Ryan Toolson,2009,Utah Valley,28,37.1,23.8,4.5,8.7,52.3%,2.6,6.8,38.9%,6.8,7.3,92.7%,0.4,3.3,3.8,3.1,1.0,0.3,2.5,1.3
1457,Jodie Meeks,2009,Kentucky,36,34.4,23.7,4.1,7.8,52.1%,3.3,8.0,40.6%,5.9,6.5,90.2%,0.5,2.9,3.4,1.8,1.3,0.1,2.7,1.9
