,Player,Year,Team,GP,Min,Pts,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,Reb.Off,Reb.Def,Reb.Tot,Ast,Stl,Blk,TO,PF
583,Rodney Stuckey,2006,Eastern Wash.,30,33.0,24.2,6.5,12.1,53.9%,1.8,4.9,37.2%,5.7,7.5,76.0%,1.1,3.7,4.8,4.1,2.2,0.3,3.6,2.5
584,Alan Daniels,2006,Lamar,31,35.1,23.5,5.6,10.5,53.5%,2.4,8.0,30.4%,5.0,7.5,66.5%,1.9,4.8,6.7,3.0,2.3,0.7,2.5,2.5
585,Trey Johnson,2006,Jackson St,32,34.8,23.5,5.9,12.8,46.1%,2.1,4.8,44.1%,5.4,7.3,75.0%,1.6,3.2,4.8,2.3,1.4,0.1,2.7,2.2
586,Whit Holcomb-Faye,2006,Radford,29,38.2,23.1,4.1,9.1,45.2%,2.9,8.6,33.5%,6.3,7.8,80.9%,0.6,2.3,2.9,4.0,1.1,0.1,3.0,2.4
587,Larry Blair,2006,Liberty,30,36.7,22.6,5.7,13.3,42.7%,2.1,6.0,35.6%,4.9,6.1,80.3%,0.8,3.8,4.7,2.7,2.0,0.4,2.6,1.9
588,Roy Booker,2006,Southeast Mo St,27,35.7,22.0,3.9,10.0,38.7%,2.7,8.6,31.3%,6.1,7.4,82.5%,1.8,3.0,4.8,1.7,0.6,0.0,2.9,2.5
589,Tim Smith,2006,ETSU,28,37.7,22.0,7.0,14.4,48.5%,1.5,4.5,32.8%,3.6,4.9,73.0%,1.2,3.4,4.5,4.5,3.4,0.0,4.9,1.6
590,Morris Almond,2006,Rice,28,32.3,21.9,6.3,12.1,51.8%,1.7,3.9,44.4%,4.1,5.2,79.5%,1.8,4.1,5.8,1.1,1.4,0.7,2.9,2.4
591,Nick Fazekas,2006,Nevada,33,31.8,21.8,7.2,12.1,59.3%,0.9,3.2,29.0%,4.7,5.5,84.6%,3.0,7.3,10.4,2.1,1.1,1.5,1.8,1.8
592,Elton Nesbitt,2006,Ga Southern,30,32.0,21.7,3.6,7.8,46.2%,3.4,8.8,39.0%,4.2,5.2,80.3%,0.7,2.8,3.5,3.0,2.0,0.1,2.3,2.8
593,Jose Juan Barea,2006,Northeastern,29,33.6,21.0,4.9,10.2,48.5%,2.3,7.8,29.1%,4.3,5.7,76.4%,1.1,3.4,4.4,8.4,1.3,0.0,4.7,2.8
594,Caleb Green,2006,Oral Roberts,33,32.2,20.8,6.7,12.6,53.3%,0.1,0.3,30.0%,7.1,9.3,76.3%,3.7,5.1,8.8,1.6,1.0,0.3,2.9,2.8
595,Kenny Adeleke,2006,Hartford,28,35.0,20.7,8.0,13.5,59.2%,0.0,0.0,0.0%,4.8,8.0,59.4%,5.4,7.7,13.1,0.6,1.0,1.7,3.7,3.0
596,Jarrius Jackson,2006,Texas Tech,32,38.4,20.5,4.5,10.4,42.9%,2.3,5.1,44.8%,4.8,5.8,81.3%,0.7,3.4,4.1,2.9,1.7,0.1,2.1,1.3
597,Randy Foye,2006,Villanova,33,34.7,20.5,4.2,9.0,46.3%,2.7,7.7,35.0%,4.1,5.2,79.1%,1.6,4.1,5.8,3.0,1.4,0.6,2.2,2.2
598,Leon Powe,2006,Cal,27,35.3,20.5,6.5,13.0,50.0%,0.1,0.3,33.3%,7.2,10.0,71.9%,3.3,6.8,10.1,1.4,0.9,0.6,2.4,2.5
599,Quinton Day,2006,UMKC,27,38.4,20.3,4.2,9.8,42.8%,2.7,7.3,37.2%,3.8,4.7,81.1%,0.6,3.0,3.6,4.8,2.8,0.0,4.0,1.7
600,Adam Morrison,2006,Gonzaga,33,36.5,28.1,7.0,13.5,52.3%,2.2,5.2,42.8%,7.3,9.4,77.2%,1.4,4.1,5.5,1.8,1.1,0.3,2.3,2.0
601,J.J. Redick,2006,Duke,36,37.1,26.8,4.5,8.7,52.1%,3.9,9.2,42.1%,6.1,7.1,86.3%,0.2,1.8,2.0,2.6,1.4,0.1,2.5,1.5
602,Keydren Clark,2006,St. Peter's,32,38.8,26.3,5.3,11.6,45.2%,3.3,10.1,32.6%,5.9,6.6,89.2%,1.3,2.8,4.1,4.4,2.5,0.3,3.2,1.9
603,Gary Neal,2006,Towson,17,35.3,26.1,4.5,9.2,48.4%,3.6,9.0,40.5%,6.2,7.8,80.3%,0.7,3.2,3.9,2.9,1.8,0.2,3.5,2.8
604,Andre Collins,2006,Loyola MD,28,38.1,26.1,4.9,10.6,46.5%,4.2,11.5,36.6%,3.6,4.0,90.2%,0.8,2.8,3.6,4.7,2.4,0.1,3.7,2.3
605,Brion Rush,2006,Grambling,21,34.8,25.8,6.4,13.8,46.7%,2.6,8.2,31.2%,5.2,6.2,83.2%,1.4,5.6,7.0,3.4,2.3,0.0,3.5,2.4
606,Quincy Douby,2006,Rutgers,33,36.7,25.4,5.2,10.1,51.5%,3.5,8.8,40.1%,4.5,5.3,84.7%,0.8,3.5,4.3,3.1,1.8,0.8,2.8,1.8
607,Steve Burtt,2006,Iona,31,35.6,25.2,5.2,11.1,47.2%,3.1,7.6,40.7%,5.4,6.6,82.4%,0.6,2.7,3.3,2.5,0.7,0.1,3.2,2.3
608,Rodney Stuckey,2006,Eastern Wash.,30,33.0,24.2,6.5,12.1,53.9%,1.8,4.9,37.2%,5.7,7.5,76.0%,1.1,3.7,4.8,4.1,2.2,0.3,3.6,2.5
609,Alan Daniels,2006,Lamar,31,35.1,23.5,5.6,10.5,53.5%,2.4,8.0,30.4%,5.0,7.5,66.5%,1.9,4.8,6.7,3.0,2.3,0.7,2.5,2.5
610,Trey Johnson,2006,Jackson St,32,34.8,23.5,5.9,12.8,46.1%,2.1,4.8,44.1%,5.4,7.3,75.0%,1.6,3.2,4.8,2.3,1.4,0.1,2.7,2.2
611,Whit Holcomb-Faye,2006,Radford,29,38.2,23.1,4.1,9.1,45.2%,2.9,8.6,33.5%,6.3,7.8,80.9%,0.6,2.3,2.9,4.0,1.1,0.1,3.0,2.4
612,Larry Blair,2006,Liberty,30,36.7,22.6,5.7,13.3,42.7%,2.1,6.0,35.6%,4.9,6.1,80.3%,0.8,3.8,4.7,2.7,2.0,0.4,2.6,1.9
613,Roy Booker,2006,Southeast Mo St,27,35.7,22.0,3.9,10.0,38.7%,2.7,8.6,31.3%,6.1,7.4,82.5%,1.8,3.0,4.8,1.7,0.6,0.0,2.9,2.5
614,Tim Smith,2006,ETSU,28,37.7,22.0,7.0,14.4,48.5%,1.5,4.5,32.8%,3.6,4.9,73.0%,1.2,3.4,4.5,4.5,3.4,0.0,4.9,1.6
615,Morris Almond,2006,Rice,28,32.3,21.9,6.3,12.1,51.8%,1.7,3.9,44.4%,4.1,5.2,79.5%,1.8,4.1,5.8,1.1,1.4,0.7,2.9,2.4
616,Nick Fazekas,2006,Nevada,33,31.8,21.8,7.2,12.1,59.3%,0.9,3.2,29.0%,4.7,5.5,84.6%,3.0,7.3,10.4,2.1,1.1,1.5,1.8,1.8
617,Elton Nesbitt,2006,Ga Southern,30,32.0,21.7,3.6,7.8,46.2%,3.4,8.8,39.0%,4.2,5.2,80.3%,0.7,2.8,3.5,3.0,2.0,0.1,2.3,2.8
618,Jose Juan Barea,2006,Northeastern,29,33.6,21.0,4.9,10.2,48.5%,2.3,7.8,29.1%,4.3,5.7,76.4%,1.1,3.4,4.4,8.4,1.3,0.0,4.7,2.8
619,Caleb Green,2006,Oral Roberts,33,32.2,20.8,6.7,12.6,53.3%,0.1,0.3,30.0%,7.1,9.3,76.3%,3.7,5.1,8.8,1.6,1.0,0.3,2.9,2.8
620,Kenny Adeleke,2006,Hartford,28,35.0,20.7,8.0,13.5,59.2%,0.0,0.0,0.0%,4.8,8.0,59.4%,5.4,7.7,13.1,0.6,1.0,1.7,3.7,3.0
621,Jarrius Jackson,2006,Texas Tech,32,38.4,20.5,4.5,10.4,42.9%,2.3,5.1,44.8%,4.8,5.8,81.3%,0.7,3.4,4.1,2.9,1.7,0.1,2.1,1.3
622,Randy Foye,2006,Villanova,33,34.7,20.5,4.2,9.0,46.3%,2.7,7.7,35.0%,4.1,5.2,79.1%,1.6,4.1,5.8,3.0,1.4,0.6,2.2,2.2
623,Leon Powe,2006,Cal,27,35.3,20.5,6.5,13.0,50.0%,0.1,0.3,33.3%,7.2,10.0,71.9%,3.3,6.8,10.1,1.4,0.9,0.6,2.4,2.5
624,Quinton Day,2006,UMKC,27,38.4,20.3,4.2,9.8,42.8%,2.7,7.3,37.2%,3.8,4.7,81.1%,0.6,3.0,3.6,4.8,2.8,0.0,4.0,1.7
625,Adam Morrison,2006,Gonzaga,33,36.5,28.1,7.0,13.5,52.3%,2.2,5.2,42.8%,7.3,9.4,77.2%,1.4,4.1,5.5,1.8,1.1,0.3,2.3,2.0
626,J.J. Redick,2006,Duke,36,37.1,26.8,4.5,8.7,52.1%,3.9,9.2,42.1%,6.1,7.1,86.3%,0.2,1.8,2.0,2.6,1.4,0.1,2.5,1.5
627,Keydren Clark,2006,St. Peter's,32,38.8,26.3,5.3,11.6,45.2%,3.3,10.1,32.6%,5.9,6.6,89.2%,1.3,2.8,4.1,4.4,2.5,0.3,3.2,1.9
628,Gary Neal,2006,Towson,17,35.3,26.1,4.5,9.2,48.4%,3.6,9.0,40.5%,6.2,7.8,80.3%,0.7,3.2,3.9,2.9,1.8,0.2,3.5,2.8
629,Andre Collins,2006,Loyola MD,28,38.1,26.1,4.9,10.6,46.5%,4.2,11.5,36.6%,3.6,4.0,90.2%,0.8,2.8,3.6,4.7,2.4,0.1,3.7,2.3
630,Brion Rush,2006,Grambling,21,34.8,25.8,6.4,13.8,46.7%,2.6,8.2,31.2%,5.2,6.2,83.2%,1.4,5.6,7.0,3.4,2.3,0.0,3.5,2.4
631,Quincy Douby,2006,Rutgers,33,36.7,25.4,5.2,10.1,51.5%,3.5,8.8,40.1%,4.5,5.3,84.7%,0.8,3.5,4.3,3.1,1.8,0.8,2.8,1.8
632,Steve Burtt,2006,Iona,31,35.6,25.2,5.2,11.1,47.2%,3.1,7.6,40.7%,5.4,6.6,82.4%,0.6,2.7,3.3,2.5,0.7,0.1,3.2,2.3
633,Rodney Stuckey,2006,Eastern Wash.,30,33.0,24.2,6.5,12.1,53.9%,1.8,4.9,37.2%,5.7,7.5,76.0%,1.1,3.7,4.8,4.1,2.2,0.3,3.6,2.5
634,Alan Daniels,2006,Lamar,31,35.1,23.5,5.6,10.5,53.5%,2.4,8.0,30.4%,5.0,7.5,66.5%,1.9,4.8,6.7,3.0,2.3,0.7,2.5,2.5
635,Trey Johnson,2006,Jackson St,32,34.8,23.5,5.9,12.8,46.1%,2.1,4.8,44.1%,5.4,7.3,75.0%,1.6,3.2,4.8,2.3,1.4,0.1,2.7,2.2
636,Whit Holcomb-Faye,2006,Radford,29,38.2,23.1,4.1,9.1,45.2%,2.9,8.6,33.5%,6.3,7.8,80.9%,0.6,2.3,2.9,4.0,1.1,0.1,3.0,2.4
637,Larry Blair,2006,Liberty,30,36.7,22.6,5.7,13.3,42.7%,2.1,6.0,35.6%,4.9,6.1,80.3%,0.8,3.8,4.7,2.7,2.0,0.4,2.6,1.9
638,Roy Booker,2006,Southeast Mo St,27,35.7,22.0,3.9,10.0,38.7%,2.7,8.6,31.3%,6.1,7.4,82.5%,1.8,3.0,4.8,1.7,0.6,0.0,2.9,2.5
639,Tim Smith,2006,ETSU,28,37.7,22.0,7.0,14.4,48.5%,1.5,4.5,32.8%,3.6,4.9,73.0%,1.2,3.4,4.5,4.5,3.4,0.0,4.9,1.6
640,Morris Almond,2006,Rice,28,32.3,21.9,6.3,12.1,51.8%,1.7,3.9,44.4%,4.1,5.2,79.5%,1.8,4.1,5.8,1.1,1.4,0.7,2.9,2.4
641,Nick Fazekas,2006,Nevada,33,31.8,21.8,7.2,12.1,59.3%,0.9,3.2,29.0%,4.7,5.5,84.6%,3.0,7.3,10.4,2.1,1.1,1.5,1.8,1.8
642,Elton Nesbitt,2006,Ga Southern,30,32.0,21.7,3.6,7.8,46.2%,3.4,8.8,39.0%,4.2,5.2,80.3%,0.7,2.8,3.5,3.0,2.0,0.1,2.3,2.8
643,Jose Juan Barea,2006,Northeastern,29,33.6,21.0,4.9,10.2,48.5%,2.3,7.8,29.1%,4.3,5.7,76.4%,1.1,3.4,4.4,8.4,1.3,0.0,4.7,2.8
644,Caleb Green,2006,Oral Roberts,33,32.2,20.8,6.7,12.6,53.3%,0.1,0.3,30.0%,7.1,9.3,76.3%,3.7,5.1,8.8,1.6,1.0,0.3,2.9,2.8
645,Kenny Adeleke,2006,Hartford,28,35.0,20.7,8.0,13.5,59.2%,0.0,0.0,0.0%,4.8,8.0,59.4%,5.4,7.7,13.1,0.6,1.0,1.7,3.7,3.0
646,Jarrius Jackson,2006,Texas Tech,32,38.4,20.5,4.5,10.4,42.9%,2.3,5.1,44.8%,4.8,5.8,81.3%,0.7,3.4,4.1,2.9,1.7,0.1,2.1,1.3
647,Randy Foye,2006,Villanova,33,34.7,20.5,4.2,9.0,46.3%,2.7,7.7,35.0%,4.1,5.2,79.1%,1.6,4.1,5.8,3.0,1.4,0.6,2.2,2.2
648,Leon Powe,2006,Cal,27,35.3,20.5,6.5,13.0,50.0%,0.1,0.3,33.3%,7.2,10.0,71.9%,3.3,6.8,10.1,1.4,0.9,0.6,2.4,2.5
649,Quinton Day,2006,UMKC,27,38.4,20.3,4.2,9.8,42.8%,2.7,7.3,37.2%,3.8,4.7,81.1%,0.6,3.0,3.6,4.8,2.8,0.0,4.0,1.7
650,Adam Morrison,2006,Gonzaga,33,36.5,28.1,7.0,13.5,52.3%,2.2,5.2,42.8%,7.3,9.4,77.2%,1.4,4.1,5.5,1.8,1.1,0.3,2.3,2.0
651,J.J. Redick,2006,Duke,36,37.1,26.8,4.5,8.7,52.1%,3.9,9.2,42.1%,6.1,7.1,86.3%,0.2,1.8,2.0,2.6,1.4,0.1,2.5,1.5
652,Keydren Clark,2006,St. Peter's,32,38.8,26.3,5.3,11.6,45.2%,3.3,10.1,32.6%,5.9,6.6,89.2%,1.3,2.8,4.1,4.4,2.5,0.3,3.2,1.9
653,Gary Neal,2006,Towson,17,35.3,26.1,4.5,9.2,48.4%,3.6,9.0,40.5%,6.2,7.8,80.3%,0.7,3.2,3.9,2.9,1.8,0.2,3.5,2.8
654,Andre Collins,2006,Loyola MD,28,38.1,26.1,4.9,10.6,46.5%,4.2,11.5,36.6%,3.6,4.0,90.2%,0.8,2.8,3.6,4.7,2.4,0.1,3.7,2.3
655,Brion Rush,2006,Grambling,21,34.8,25.8,6.4,13.8,46.7%,2.6,8.2,31.2%,5.2,6.2,83.2%,1.4,5.6,7.0,3.4,2.3,0.0,3.5,2.4
656,Quincy Douby,2006,Rutgers,33,36.7,25.4,5.2,10.1,51.5%,3.5,8.8,40.1%,4.5,5.3,84.7%,0.8,3.5,4.3,3.1,1.8,0.8,2.8,1.8
657,Steve Burtt,2006,Iona,31,35.6,25.2,5.2,11.1,47.2%,3.1,7.6,40.7%,5.4,6.6,82.4%,0.6,2.7,3.3,2.5,0.7,0.1,3.2,2.3
658,Rodney Stuckey,2006,Eastern Wash.,30,33.0,24.2,6.5,12.1,53.9%,1.8,4.9,37.2%,5.7,7.5,76.0%,1.1,3.7,4.8,4.1,2.2,0.3,3.6,2.5
659,Alan Daniels,2006,Lamar,31,35.1,23.5,5.6,10.5,53.5%,2.4,8.0,30.4%,5.0,7.5,66.5%,1.9,4.8,6.7,3.0,2.3,0.7,2.5,2.5
660,Trey Johnson,2006,Jackson St,32,34.8,23.5,5.9,12.8,46.1%,2.1,4.8,44.1%,5.4,7.3,75.0%,1.6,3.2,4.8,2.3,1.4,0.1,2.7,2.2
661,Whit Holcomb-Faye,2006,Radford,29,38.2,23.1,4.1,9.1,45.2%,2.9,8.6,33.5%,6.3,7.8,80.9%,0.6,2.3,2.9,4.0,1.1,0.1,3.0,2.4
662,Larry Blair,2006,Liberty,30,36.7,22.6,5.7,13.3,42.7%,2.1,6.0,35.6%,4.9,6.1,80.3%,0.8,3.8,4.7,2.7,2.0,0.4,2.6,1.9
663,Roy Booker,2006,Southeast Mo St,27,35.7,22.0,3.9,10.0,38.7%,2.7,8.6,31.3%,6.1,7.4,82.5%,1.8,3.0,4.8,1.7,0.6,0.0,2.9,2.5
664,Tim Smith,2006,ETSU,28,37.7,22.0,7.0,14.4,48.5%,1.5,4.5,32.8%,3.6,4.9,73.0%,1.2,3.4,4.5,4.5,3.4,0.0,4.9,1.6
665,Morris Almond,2006,Rice,28,32.3,21.9,6.3,12.1,51.8%,1.7,3.9,44.4%,4.1,5.2,79.5%,1.8,4.1,5.8,1.1,1.4,0.7,2.9,2.4
666,Nick Fazekas,2006,Nevada,33,31.8,21.8,7.2,12.1,59.3%,0.9,3.2,29.0%,4.7,5.5,84.6%,3.0,7.3,10.4,2.1,1.1,1.5,1.8,1.8
667,Elton Nesbitt,2006,Ga Southern,30,32.0,21.7,3.6,7.8,46.2%,3.4,8.8,39.0%,4.2,5.2,80.3%,0.7,2.8,3.5,3.0,2.0,0.1,2.3,2.8
668,Jose Juan Barea,2006,Northeastern,29,33.6,21.0,4.9,10.2,48.5%,2.3,7.8,29.1%,4.3,5.7,76.4%,1.1,3.4,4.4,8.4,1.3,0.0,4.7,2.8
669,Caleb Green,2006,Oral Roberts,33,32.2,20.8,6.7,12.6,53.3%,0.1,0.3,30.0%,7.1,9.3,76.3%,3.7,5.1,8.8,1.6,1.0,0.3,2.9,2.8
670,Kenny Adeleke,2006,Hartford,28,35.0,20.7,8.0,13.5,59.2%,0.0,0.0,0.0%,4.8,8.0,59.4%,5.4,7.7,13.1,0.6,1.0,1.7,3.7,3.0
671,Jarrius Jackson,2006,Texas Tech,32,38.4,20.5,4.5,10.4,42.9%,2.3,5.1,44.8%,4.8,5.8,81.3%,0.7,3.4,4.1,2.9,1.7,0.1,2.1,1.3
672,Randy Foye,2006,Villanova,33,34.7,20.5,4.2,9.0,46.3%,2.7,7.7,35.0%,4.1,5.2,79.1%,1.6,4.1,5.8,3.0,1.4,0.6,2.2,2.2
673,Leon Powe,2006,Cal,27,35.3,20.5,6.5,13.0,50.0%,0.1,0.3,33.3%,7.2,10.0,71.9%,3.3,6.8,10.1,1.4,0.9,0.6,2.4,2.5
674,Quinton Day,2006,UMKC,27,38.4,20.3,4.2,9.8,42.8%,2.7,7.3,37.2%,3.8,4.7,81.1%,0.6,3.0,3.6,4.8,2.8,0.0,4.0,1.7
675,Adam Morrison,2006,Gonzaga,33,36.5,28.1,7.0,13.5,52.3%,2.2,5.2,42.8%,7.3,9.4,77.2%,1.4,4.1,5.5,1.8,1.1,0.3,2.3,2.0
676,J.J. Redick,2006,Duke,36,37.1,26.8,4.5,8.7,52.1%,3.9,9.2,42.1%,6.1,7.1,86.3%,0.2,1.8,2.0,2.6,1.4,0.1,2.5,1.5
677,Keydren Clark,2006,St. Peter's,32,38.8,26.3,5.3,11.6,45.2%,3.3,10.1,32.6%,5.9,6.6,89.2%,1.3,2.8,4.1,4.4,2.5,0.3,3.2,1.9
678,Gary Neal,2006,Towson,17,35.3,26.1,4.5,9.2,48.4%,3.6,9.0,40.5%,6.2,7.8,80.3%,0.7,3.2,3.9,2.9,1.8,0.2,3.5,2.8
679,Andre Collins,2006,Loyola MD,28,38.1,26.1,4.9,10.6,46.5%,4.2,11.5,36.6%,3.6,4.0,90.2%,0.8,2.8,3.6,4.7,2.4,0.1,3.7,2.3
680,Brion Rush,2006,Grambling,21,34.8,25.8,6.4,13.8,46.7%,2.6,8.2,31.2%,5.2,6.2,83.2%,1.4,5.6,7.0,3.4,2.3,0.0,3.5,2.4
681,Quincy Douby,2006,Rutgers,33,36.7,25.4,5.2,10.1,51.5%,3.5,8.8,40.1%,4.5,5.3,84.7%,0.8,3.5,4.3,3.1,1.8,0.8,2.8,1.8
682,Steve Burtt,2006,Iona,31,35.6,25.2,5.2,11.1,47.2%,3.1,7.6,40.7%,5.4,6.6,82.4%,0.6,2.7,3.3,2.5,0.7,0.1,3.2,2.3
683,Rodney Stuckey,2006,Eastern Wash.,30,33.0,24.2,6.5,12.1,53.9%,1.8,4.9,37.2%,5.7,7.5,76.0%,1.1,3.7,4.8,4.1,2.2,0.3,3.6,2.5
684,Alan Daniels,2006,Lamar,31,35.1,23.5,5.6,10.5,53.5%,2.4,8.0,30.4%,5.0,7.5,66.5%,1.9,4.8,6.7,3.0,2.3,0.7,2.5,2.5
685,Trey Johnson,2006,Jackson St,32,34.8,23.5,5.9,12.8,46.1%,2.1,4.8,44.1%,5.4,7.3,75.0%,1.6,3.2,4.8,2.3,1.4,0.1,2.7,2.2
686,Whit Holcomb-Faye,2006,Radford,29,38.2,23.1,4.1,9.1,45.2%,2.9,8.6,33.5%,6.3,7.8,80.9%,0.6,2.3,2.9,4.0,1.1,0.1,3.0,2.4
687,Larry Blair,2006,Liberty,30,36.7,22.6,5.7,13.3,42.7%,2.1,6.0,35.6%,4.9,6.1,80.3%,0.8,3.8,4.7,2.7,2.0,0.4,2.6,1.9
688,Roy Booker,2006,Southeast Mo St,27,35.7,22.0,3.9,10.0,38.7%,2.7,8.6,31.3%,6.1,7.4,82.5%,1.8,3.0,4.8,1.7,0.6,0.0,2.9,2.5
689,Tim Smith,2006,ETSU,28,37.7,22.0,7.0,14.4,48.5%,1.5,4.5,32.8%,3.6,4.9,73.0%,1.2,3.4,4.5,4.5,3.4,0.0,4.9,1.6
690,Morris Almond,2006,Rice,28,32.3,21.9,6.3,12.1,51.8%,1.7,3.9,44.4%,4.1,5.2,79.5%,1.8,4.1,5.8,1.1,1.4,0.7,2.9,2.4
691,Nick Fazekas,2006,Nevada,33,31.8,21.8,7.2,12.1,59.3%,0.9,3.2,29.0%,4.7,5.5,84.6%,3.0,7.3,10.4,2.1,1.1,1.5,1.8,1.8
692,Elton Nesbitt,2006,Ga Southern,30,32.0,21.7,3.6,7.8,46.2%,3.4,8.8,39.0%,4.2,5.2,80.3%,0.7,2.8,3.5,3.0,2.0,0.1,2.3,2.8
693,Jose Juan Barea,2006,Northeastern,29,33.6,21.0,4.9,10.2,48.5%,2.3,7.8,29.1%,4.3,5.7,76.4%,1.1,3.4,4.4,8.4,1.3,0.0,4.7,2.8
694,Caleb Green,2006,Oral Roberts,33,32.2,20.8,6.7,12.6,53.3%,0.1,0.3,30.0%,7.1,9.3,76.3%,3.7,5.1,8.8,1.6,1.0,0.3,2.9,2.8
695,Kenny Adeleke,2006,Hartford,28,35.0,20.7,8.0,13.5,59.2%,0.0,0.0,0.0%,4.8,8.0,59.4%,5.4,7.7,13.1,0.6,1.0,1.7,3.7,3.0
696,Jarrius Jackson,2006,Texas Tech,32,38.4,20.5,4.5,10.4,42.9%,2.3,5.1,44.8%,4.8,5.8,81.3%,0.7,3.4,4.1,2.9,1.7,0.1,2.1,1.3
697,Randy Foye,2006,Villanova,33,34.7,20.5,4.2,9.0,46.3%,2.7,7.7,35.0%,4.1,5.2,79.1%,1.6,4.1,5.8,3.0,1.4,0.6,2.2,2.2
698,Leon Powe,2006,Cal,27,35.3,20.5,6.5,13.0,50.0%,0.1,0.3,33.3%,7.2,10.0,71.9%,3.3,6.8,10.1,1.4,0.9,0.6,2.4,2.5
699,Quinton Day,2006,UMKC,27,38.4,20.3,4.2,9.8,42.8%,2.7,7.3,37.2%,3.8,4.7,81.1%,0.6,3.0,3.6,4.8,2.8,0.0,4.0,1.7
700,Adam Morrison,2006,Gonzaga,33,36.5,28.1,7.0,13.5,52.3%,2.2,5.2,42.8%,7.3,9.4,77.2%,1.4,4.1,5.5,1.8,1.1,0.3,2.3,2.0
701,J.J. Redick,2006,Duke,36,37.1,26.8,4.5,8.7,52.1%,3.9,9.2,42.1%,6.1,7.1,86.3%,0.2,1.8,2.0,2.6,1.4,0.1,2.5,1.5
702,Keydren Clark,2006,St. Peter's,32,38.8,26.3,5.3,11.6,45.2%,3.3,10.1,32.6%,5.9,6.6,89.2%,1.3,2.8,4.1,4.4,2.5,0.3,3.2,1.9
703,Gary Neal,2006,Towson,17,35.3,26.1,4.5,9.2,48.4%,3.6,9.0,40.5%,6.2,7.8,80.3%,0.7,3.2,3.9,2.9,1.8,0.2,3.5,2.8
704,Andre Collins,2006,Loyola MD,28,38.1,26.1,4.9,10.6,46.5%,4.2,11.5,36.6%,3.6,4.0,90.2%,0.8,2.8,3.6,4.7,2.4,0.1,3.7,2.3
705,Brion Rush,2006,Grambling,21,34.8,25.8,6.4,13.8,46.7%,2.6,8.2,31.2%,5.2,6.2,83.2%,1.4,5.6,7.0,3.4,2.3,0.0,3.5,2.4
706,Quincy Douby,2006,Rutgers,33,36.7,25.4,5.2,10.1,51.5%,3.5,8.8,40.1%,4.5,5.3,84.7%,0.8,3.5,4.3,3.1,1.8,0.8,2.8,1.8
707,Steve Burtt,2006,Iona,31,35.6,25.2,5.2,11.1,47.2%,3.1,7.6,40.7%,5.4,6.6,82.4%,0.6,2.7,3.3,2.5,0.7,0.1,3.2,2.3
708,Rodney Stuckey,2006,Eastern Wash.,30,33.0,24.2,6.5,12.1,53.9%,1.8,4.9,37.2%,5.7,7.5,76.0%,1.1,3.7,4.8,4.1,2.2,0.3,3.6,2.5
709,Alan Daniels,2006,Lamar,31,35.1,23.5,5.6,10.5,53.5%,2.4,8.0,30.4%,5.0,7.5,66.5%,1.9,4.8,6.7,3.0,2.3,0.7,2.5,2.5
710,Trey Johnson,2006,Jackson St,32,34.8,23.5,5.9,12.8,46.1%,2.1,4.8,44.1%,5.4,7.3,75.0%,1.6,3.2,4.8,2.3,1.4,0.1,2.7,2.2
711,Whit Holcomb-Faye,2006,Radford,29,38.2,23.1,4.1,9.1,45.2%,2.9,8.6,33.5%,6.3,7.8,80.9%,0.6,2.3,2.9,4.0,1.1,0.1,3.0,2.4
712,Larry Blair,2006,Liberty,30,36.7,22.6,5.7,13.3,42.7%,2.1,6.0,35.6%,4.9,6.1,80.3%,0.8,3.8,4.7,2.7,2.0,0.4,2.6,1.9
713,Roy Booker,2006,Southeast Mo St,27,35.7,22.0,3.9,10.0,38.7%,2.7,8.6,31.3%,6.1,7.4,82.5%,1.8,3.0,4.8,1.7,0.6,0.0,2.9,2.5
714,Tim Smith,2006,ETSU,28,37.7,22.0,7.0,14.4,48.5%,1.5,4.5,32.8%,3.6,4.9,73.0%,1.2,3.4,4.5,4.5,3.4,0.0,4.9,1.6
715,Morris Almond,2006,Rice,28,32.3,21.9,6.3,12.1,51.8%,1.7,3.9,44.4%,4.1,5.2,79.5%,1.8,4.1,5.8,1.1,1.4,0.7,2.9,2.4
716,Nick Fazekas,2006,Nevada,33,31.8,21.8,7.2,12.1,59.3%,0.9,3.2,29.0%,4.7,5.5,84.6%,3.0,7.3,10.4,2.1,1.1,1.5,1.8,1.8
717,Elton Nesbitt,2006,Ga Southern,30,32.0,21.7,3.6,7.8,46.2%,3.4,8.8,39.0%,4.2,5.2,80.3%,0.7,2.8,3.5,3.0,2.0,0.1,2.3,2.8
718,Jose Juan Barea,2006,Northeastern,29,33.6,21.0,4.9,10.2,48.5%,2.3,7.8,29.1%,4.3,5.7,76.4%,1.1,3.4,4.4,8.4,1.3,0.0,4.7,2.8
719,Caleb Green,2006,Oral Roberts,33,32.2,20.8,6.7,12.6,53.3%,0.1,0.3,30.0%,7.1,9.3,76.3%,3.7,5.1,8.8,1.6,1.0,0.3,2.9,2.8
720,Kenny Adeleke,2006,Hartford,28,35.0,20.7,8.0,13.5,59.2%,0.0,0.0,0.0%,4.8,8.0,59.4%,5.4,7.7,13.1,0.6,1.0,1.7,3.7,3.0
